Nom,Type_1,Type_2,Icône,Description,Niveau,Attribut,ATK,DEF,Prix
Chevalier Kagemucha,Monstre,[ Guerrier / Effet ],,Lorsque vous Invoquez Normalement un monstre de Niveau 3 : vous pouvez Invoquer Spécialement cette carte depuis votre main. Cette carte ne peut pas être utilisée comme Monstre-Matériel de Synchro.,3.0,Ténèbres,0,0,"0,5"
Chevalier Légendaire Critias,Monstre,[ Guerrier / Effet ],,"Ni Invocable Normalement ni Posable. Uniquement Invocable Spécialement avec ""Légende du Coeur"" et non Invocable Spécialement autrement. Lorsque cette carte est Invoquée Spécialement : vous pouvez cibler 1 Carte Magie/Piège face recto sur le Terrain ; bannissez la cible. Lorsque cette carte est ciblée par une attaque : vous pouvez cibler 1 Carte Piège dans votre Cimetière ; Posez la cible. La carte Posée peut être activée ce tour.",8.0,Lumière,2800,1800,"0,5"
Chevalier Légendaire Hermocrate,Monstre,[ Guerrier / Effet ],,"Ni Invocable Normalement ni Posable. Uniquement Invocable Spécialement avec ""Légende du Coeur"" et non Invocable Spécialement autrement. Lorsque cette carte est Invoquée Spécialement : vous pouvez cibler 1 Carte Magie/Piège face recto sur le Terrain ; bannissez la cible. Une fois par tour, lorsque cette carte est ciblée par une attaque : vous pouvez cibler 1 Monstre à Effet dans votre Cimetière ; jusqu'à la End Phase de votre prochain tour, le nom de cette carte devient celui de la cible, et remplacez cet effet avec les effets d'origine de la cible.",8.0,Lumière,2800,1800,"0,35"
Chevalier Légendaire Timée,Monstre,[ Guerrier / Effet ],,"Ni Invocable Normalement ni Posable. Uniquement Invocable Spécialement avec ""Légende du Coeur"" et non Invocable Spécialement autrement. Lorsque cette carte est Invoquée Spécialement : vous pouvez cibler 1 Carte Magie/Piège face recto sur le Terrain ; bannissez la cible. Lorsque cette carte est ciblée par une attaque : vous pouvez cibler 1 Carte Magie dans votre Cimetière ; Posez la cible.",8.0,Lumière,2800,1800,"0,35"
Chevalier Magicien des Ténèbres,Monstre,[ Magicien / Effet ],,"Ni Invocable Normalement ni Posable. Uniquement Invocable Spécialement avec ""Titre de Chevalier"" et non Invocable Spécialement autrement. Lorsque cette carte est Invoquée Spécialement : ciblez 1 carte sur le Terrain ; détruisez la cible.",7.0,Ténèbres,2500,2100,0
Chevalier Maître Des Dragons,Monstre,[ Dragon / Fusion / Effet ],,'Soldat du Lustre Noir'' + ''Dragon Ultime aux Yeux Bleus''. Ce monstre ne peut pas être Invoqué Spécialement excepté par une Invocation Fusion. Cette carte gagne 500 d'ATK pour chaque autre monstre de Type Dragon que vous contrôlez.,12.0,Lumière,5000,5000,0
Chevalier Mirage,Monstre,[ Guerrier / Effet ],,"Cette peut seulement être invoquées spécialement par l'effet du ''Dark Flare Knight''. Quand cette carte combat un autre monstre, durant le calcul des dommages augmentez l'ATK de cette carte avec l'ATK original du monstre adverse. Durant la End Phase après que cette carte soit impliquée dans un combat, retirez la du jeu.",8.0,Lumière,2800,2000,0
Chevalier Miroir Cipher,Monstre,[ Guerrier / Effet ],,"Lorsqu'un monstre ""Cipher"" (""Soldat Kinésique"" inclus) que vous contrôlez est détruit au combat et envoyé à votre Cimetière : vous pouvez défausser cette carte ; envoyez 1 carte depuis votre main ou Terrain au Cimetière, et si vous le faites, Invoquez Spécialement le monstre détruit. Durant la End Phase, si cette carte est dans le Cimetière parce qu'elle y a été envoyée ce tour : vous pouvez ajouter 1 carte ""Cipher"" (""Soldat Kinésique"" inclus) depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Chevalier Miroir Cipher"" qu'une fois par tour.",4.0,Lumière,0,0,"0,25"
Chevalier N.As.Ch. CXyz,Monstre,[ Aqua / Xyz / Effet ],,"3 monstres de Niveau 6
 Vous pouvez aussi Invoquer par Xyz cette carte en utilisant ""Chevalier N.As.H."" que vous contrôlez. (Transférez ses Matériels à cette carte.) Non destructible par des effets de carte. Vous pouvez détacher 1 Matériel de cette carte ; Invoquez Spécialement depuis votre Extra Deck, 1 Monstre Xyz ""Numéro"" qui a un numéro entre ""101"" et ""107"" dans son nom, en utilisant cette carte face recto que vous contrôlez comme Matériel, mais détruisez-le durant la prochaine End Phase de votre adversaire. (Ceci est traité comme une Invocation Xyz. Transférez ses Matériels au monstre Invoqué.) Vous ne pouvez utiliser cet effet de ""Chevalier N.As.Ch. CXyz"" qu'une fois par tour.",6.0,Eau,2000,3000,1
Chevalier N.As.H.,Monstre,[ Aqua / Xyz / Effet ],,"2 monstres de Niveau 5
 Non destructible au combat tant qu'un monstre ""Numéro"" est sur le Terrain. Durant la Main Phase (Effet Rapide) : vous pouvez détacher 2 Matériels de cette carte ; attachez 1 Monstre Xyz ""Numéro"" depuis votre Extra Deck à cette carte comme Matériel qui a un numéro entre ""101"" et ""107"" dans son nom, puis vous pouvez attacher 1 autre monstre face recto sur le Terrain à cette carte comme Matériel. Vous ne pouvez utiliser cet effet de ""Chevalier N.As.H."" qu'une fois par tour.",5.0,Eau,1700,2700,1
"Chevalier Néos, Héros Elémentaire",Monstre,[ Guerrier / Fusion / Effet ],,"""Néos, Héros Elémentaire"" + 1 monstre de Type Guerrier
 
 Cette carte ne peut pas être Invoquée Spécialement, excepté par Invocation Fusion. Cette carte gagne un montant d'ATK égal à la moitié de l'ATK du Monstre Matériel de Fusion de Type Guerrier utilisé pour l'Invocation Fusion de cette carte, excepté ""Néos, Héros Élémentaire"". Cette carte peut attaquer deux fois durant chaque Battle Phase. Si cette carte attaque ou est attaquée, votre adversaire ne reçoit aucun dommage de combat.",7.0,Lumière,2500,1000,0
Chevalier Night Express,Monstre,[ Machine / Effet ],,"Non Invocable Spécialement depuis le Deck. Vous pouvez Invoquer Normalement cette carte sans Sacrifices, mais son ATK d'origine devient 0.",10.0,Terre,3000,3000,"0,25"
Chevalier Noble Gwalchavad,Monstre,[ Guerrier / Effet ],,"Cette carte est traitée comme un Monstre Normal tant qu'elle est face recto sur le Terrain. Tant qu'elle est équipée avec une carte Magie d'équipement ""Armes Nobles"" cette carte devient un Monstre à Effet avec cet effet.• Vous pouvez cibler 1 monstre ""Chevalier Noble""dans votre Cimetière: ajoutez-le à votre main et si vous le faites,détruisez 1 Carte magie d'Equipement ""Armes Nobles"" que vous contrôlez. Vous ne pouvez utiliser cet effet de Chevalier Noble Gwalchavad"" qu'une fois par tour.",4.0,Lumière,1500,1800,4
Chevalier Noble Infâme de Laundsallyn le Haut,Monstre,[ Guerrier / Synchro / Effet ],,"Lorsque cette carte est Invoquée par Synchronisation : vous pouvez équiper 1 Carte Magie d'Equipement ""Armes Nobles"" depuis votre Deck à cette carte. A la fin de la Battle Phase, si cette carte a détruit un monstre au combat et l'a envoyé au Cimetière : vous pouvez ajouter 1 carte ""Chevalier Noble"" ou ""Armes Nobles"" depuis votre Deck à votre main. Vous ne pouvez contrôler qu'1 ""Chevalier Noble Infâme de Laundsallyn le Haut"".",5.0,Ténèbres,2100,900,0
Chevalier Noble Infâme De Laundsallyn Noir,Monstre,[ Guerrier / Effet ],,"Vous pouvez envoyer 1 monstre normal LUMIERE face recto que vous contrôlez au Cimetière; invoquer Spécialement cette carte depuis votre main ou votre Cimetière. Vous pouvez Sacrifier 1 monstre ""Noble chevalier"", et ajouter 1 ""Armes Nobles"" de votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Chevalier Noble Infâme de Laundsallyn Noir"" qu'une fois par tour. Vous ne pouvez contrôler qu'1 ""Chevalier Noble Infâme de Laundsallyn Noir"" face recto.",5.0,Ténèbres,2000,800,"2,5"
Chevalier Noble Sacré d'Artorigus le Roi,Monstre,[ Guerrier / Xyz / Effet ],,"2 monstres ""Chevalier Noble"" de Niveau 5
 Lorsque cette carte est invoquée par XYZ ; vous pouvez cibler max. 3 Cartes Magie d'Equipement ""Armes Nobles"" de noms différents dans votre Cimetière ; équipez les cibles à cette carte, puis ciblez 1 autre monstre sur le Terrain : détruisez la cible. Si cette carte sur le Terrain est envoyée au Cimetière : vous pouvez cibler 1 monstre ""Chevalier Noble"" de min. Niveau 4 dans votre Cimetière : Invoquez Spécialement la cible.",5.0,Lumière,2200,2200,0
Chevalier Noble Sacré de Custennin le Roi,Monstre,[ Guerrier / Xyz / Effet ],,"2+ monstres ""Chevalier Noble"" de Niveau 4
 Vous pouvez détacher un nombre de votre choix de Matériels de cette carte, puis ciblez autant de cartes contrôlées par votre adversaire ; renvoyez-les à la main. Si cette carte est détruite au combat ou par un effet de carte, et envoyée au Cimetière : vous pouvez Invoquer Spécialement 1 Monstre Xyz ""Chevalier Noble"" (""Chevalier Noble Sacré de Custennin le Roi"" exclu) depuis votre Extra Deck, et si vous le faites, attachez cette carte depuis le Cimetière au monstre comme Matériel. (Ceci est traité comme une Invocation Xyz.) Vous ne pouvez utiliser chaque effet de ""Chevalier Noble Sacré de Custennin le Roi"" qu'une fois par tour.",4.0,Lumière,1500,2500,"0,25"
Chevalier Ojama,Monstre,[ Bête / Fusion / Effet ],,"1 monstre ""Ojama"" + 1 monstre ""Ojama""
 Sélectionnez jusqu'à 2 Zones Cartes Monstre de votre adversaire. Les zones sélectionnées sont inutilisables.",5.0,Lumière,0,2500,"2,5"
Chevalier Robotisé,Monstre,[ Machine / Normal ],,"Serviteur du Roi des Machines, ce commandant est reputé pour la manière dont il contrôle ses troupes.",4.0,Feu,1600,1800,0
Chevalier Royal de la Barrière de Glace,Monstre,[ Guerrier / Effet ],,"Lorsque cette carte est Invoquée par Sacrifice, Invoquez Spécialement 1 ""Jeton Cercueil de Glace"" (Type Aqua/EAU/Niveau 1/ATK 1000/DEF 0) en Position d'Attaque sur le Terrain de votre adversaire. Ces Jetons ne peuvent pas être Sacrifiés pour une Invocation Sacrifice.",5.0,Eau,2000,2000,"0,35"
Chevalier Rouages Ancients,Monstre,[ Machine / Gémeau / Effet ],,"Cette carte est traitée comme un Monstre Normal tant qu'elle est face recto sur le Terrain ou dans le Cimetière. Tant que cette carte est face recto sur le Terrain, vous pouvez l'Invoquer Normalement pour qu'elle devienne un Monstre à Effet avec cet effet. ?Si cette carte attaque, jusqu'à la fin de la Damage Step, votre adversaire ne peut pas activer de Cartes Magie/Piège.",4.0,Terre,1800,500,"0,5"
Chevalier sans Tête,Monstre,[ Démon / Normal ],,"""Cet esprit hanté d'un chevalier accusé à tort erre à la recherche de vérité et de justice.""",4.0,Terre,1450,1700,"0,5"
Chevalier Shogi,Monstre,[ Bête-Guerrier / Effet ],,"Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 carte Posée dans la Zone Carte Magie & Piège de votre adversaire : révélez la cible, puis détruisez-la si c'est une Carte Piège. Sinon, renvoyez-la dans sa position d'origine. Lorsque vous détruisez une Carte Piège par cet effet : vous pouvez Invoquer Spécialement 1 monstre TERRE de Niveau 3 depuis votre main en Position de Défense face recto.",3.0,Terre,800,400,"0,25"
Chevalier Tasuke,Monstre,[ Guerrier / Effet ],,"Lorsqu'un monstre de votre adversaire déclare une attaque, tant que vous n'avez aucune carte dans votre main et que cette carte est dans votre Cimetière : vous pouvez Invoquer Spécialement cette carte depuis votre Cimetière,puis terminez la Battle Phase. Vous ne pouvez utiliser l'effet de ""Chevalier Tasuke"" qu'une fois par Duel",4.0,Lumière,1700,100,"0,25"
Chevalier Tatakawa,Monstre,[ Guerrier / Effet ],,Si l'activation de votre Carte Magie/Piège est annulée par un effet de carte de votre adversaire : vous pouvez envoyer cette carte depuis votre main au Cimetière ; infligez 1500 points de dommages à votre adversaire.,4.0,Terre,1500,0,"0,25"
Chevalier Unicorne D.D.,Monstre,[ Guerrier / Effet ],,"Cette carte ne peut ni être Invoquée Normalement ni être Posée. Cette carte ne peut être Invoquée Spécialement que si votre adversaire contrôle un ou plusieurs monstres et que vous contrôlez un ou plusieurs monstres Syntoniseur face recto. Lorsque cette carte est Invoquée Spécialement de cette façon, vous pouvez sélectionner 1 de vos monstres non Syntoniseur de Niveau 3 ou moins qui a été retiré du jeu et l'Invoquer Spécialement. Ses effets sont annulés. Vous ne pouvez pas Invoquer Normalement ni Poser le tour où vous Invoquez Spécialement cette carte.",4.0,Lumière,1800,900,"0,8"
Chevalier Valkyrie,Monstre,[ Guerrier / Effet ],,"Votre adversaire ne peut pas cibler de monstres face recto de Type Guerrier pour une attaque, sauf Valkyrie Knight. Lorsque cette carte est détruite au combat et envoyée au Cimetière: vous pouvez bannir cette carte plus 1 autre monstre de Type Guerrier dans votre Cimetière pour cibler 1 monstre de Type Guerrier Niveau 5 ou plus dans votre Cimetière; et l'Invoquer Spécialement.",4.0,Feu,1900,1200,"0,75"
Chevalier Vif,Monstre,[ Bête-Guerrier / Effet ],,"Durant le tour de chaque joueur (sauf durant la Damage Step), lorsque votre adversaire cible exactement 1 monstre LUMIERE de type Bête-Guerrier que vous contrôlez (et aucune autre carte) avec une attaque ou avec un effet de carte : jusqu'à votre prochaine Standby Phase, bannissez le monstre que vous contrôlez, et si vous le faites, Invoquez Spécialement cette carte depuis votre main.",4.0,Lumière,1700,800,"0,75"
Chevalier Zubaba,Monstre,[ Guerrier / Effet ],,"Au début de la Damage Step, si cette carte attaque un monstre en Position de Défense face recto : détruisez le monstre.",3.0,Terre,1600,900,"0,25"
Chevaliers de la Parade,Monstre,[ Guerrier / Effet ],,"Lorsque vous recevez des dommages de combat d'un monstre attaquant de votre adversaire : vous pouvez Invoquer Spécialement cette carte depuis votre main, puis vous pouvez Invoquer Spécialement 1 monstre depuis votre main avec une ATK inférieure ou égale aux dommages que vous avez reçus.",6.0,Terre,2300,2100,"0,25"
Chevalifeuille Sylvan,Monstre,[ Plante / Effet ],,"Lorsque cette carte est invoquée normalement : vous pouvez dévoiler la carte du dessus de votre Deck, et si c'est un monstre de Type Plante, envoyez-la au Cimetière. Sinon, placez-la au dessous de votre Deck. Si cette carte est dévoilée depuis le Deck et envoyée au Cimetière par un effet de carte : vous pouvez choisir 1 carte ""Sylvan"" depuis votre Deck et placez-la au dessus de votre Deck.",4.0,Terre,1800,1000,1
Chevaucheur des Vents de Tempête,Monstre,[ Dragon / Syntoniseur / Effet ],,"Vous pouvez cibler 1 Monstre Normal de type Dragon que vous contrôlez : équipez ce monstre depuis votre main ou votre terrain à la cible. Si un monstre équipé avec cette carte attaque un monstre en position de défense, infligez des dommages de combats perçants à votre adversaire. Si un monstre équipé avec cette carte va être détruit, détruisez cette carte à la place.",1.0,Lumière,500,200,"0,25"
"Cheveux d'Or, Nouvelle de la Patroll du Pillage",Monstre,[ Démon / Syntoniseur / Effet ],,"Vous pouvez envoyer 1 autre Carte Monstre ""Patroll du Pillage"" depuis votre main ou Terrain face recto au Cimetière ; Invoquez Spécialement cette carte depuis votre main. Si cette carte est dans votre Cimetière : vous pouvez défausser 1 carte ; Invoquez Spécialement cette carte, mais vous ne pouvez pas Invoquer Spécialement (monstres ""Patroll du Pillage"" exclus) le reste de ce tour. Vous ne pouvez utiliser chaque effet de ""Cheveux d'Or, Nouvelle de la Patroll du Pillage"" qu'une fois par tour.",4.0,Eau,0,2000,"0,75"
Chick Le Jaune - Scorpion Noir,Monstre,[ Guerrier / Effet ],,"Quand cette carte inflige des Dommages de Combat aux Life Points de votre adversaire, vous pouvez sélectionner 1 des effets suivants : - Renvoyez 1 carte du Terrain dans la main du propriétaire. - Regardez 1 carte du dessus du Deck de votre adversaire. Votre adversaire ne peut pas voir cette Carte. Puis replacez la carte au dessus ou en dessous du Deck adverse.",3.0,Ténèbres,1000,1000,0
Chidori Eclair,Monstre,[ Tonnerre / Xyz / Effet ],,"2 monstres vent Niveau 4 Lorsque cette carte est Invoquée Xyz: cibler 1 Set carte contrôlée par votre adversaire, et renvoyer là sous son deck. Une fois par tour: Vous pouvez détacher 1 Matériel Xyz de cette carte pour cibler 1 carte face recto contrôlée par votre adversaire, et renvoyer là au dessus de son deck.",4.0,Vent,1900,1600,0
Chien à la Chaîne,Monstre,[ Bête / Effet ],,"Cette carte ne peut pas être utilisée en tant que Monstre-Matériel de Synchro, excepté pour l'Invocation Synchro d'un monstre de Type Bête. Si vous contrôlez 2 monstres de Type Bête face recto, vous pouvez Invoquer Spécialement cette carte depuis le Cimetière. Si cette carte est Invoquée Spécialement de cette façon, retirez-la du jeu lorsqu'elle est retirée du Terrain.",4.0,Terre,1600,1100,"0,25"
Chien à la Montre,Monstre,[ Pyro / Effet ],,"Durant votre Main Phase 2, si cette carte a été Invoquée Normalement ce tour : vous pouvez envoyer 1 Carte Magie depuis votre main au Cimetière ; Posez 1 Carte Magie Continue directement depuis votre Deck. Vous ne pouvez utiliser cet effet de ""Chien à la Montre"" qu'une fois par tour. Vous ne pouvez pas Invoquer Spécialement durant le tour où vous activez cet effet.",1.0,Feu,0,0,"0,75"
Chien Alien,Monstre,[ Reptile / Effet ],,"Lorsque vous Invoquez Normalement un monstre ""Alien"", vous pouvez Invoquer Spécialement cette carte depuis votre main. Lorsque vous le faites, placez 2 Compteurs-A sur les monstres face recto contrôlés par votre adversaire.",3.0,Lumière,1500,1000,0
Chien Automate,Monstre,[ Bête / Effet ],,"Durant votre Main Phase : jusqu'à la End Phase, vous pouvez augmenter le Niveau de cette carte de 2 et l'ATK de 600. Cet effet ne peut être utilisé qu'une fois tant que cette carte est face recto sur le Terrain.",3.0,Terre,1200,900,"0,25"
Chien de Chasse Marionnette de l'Ombre,Monstre,[ Magicien / Flip / Effet ],,"FLIP : Vous pouvez cibler 1 carte ""Marionnette de l'Ombre"" dans votre Cimetière ; ajoutez-la à votre main.
 Si cette carte est envoyée au Cimetière par un effet de carte : vous pouvez cibler 1 monstre sur le Terrain ; changez sa position de combat. (Les effets de monstres Flip, monstres ""Marionnette de l'Ombre"" exclus, ne sont pas activés à ce moment.) Vous ne pouvez utiliser qu'1 effet de ""Chien de Chasse Marionnette de l'Ombre"" par tour, et uniquement une fois le tour.",4.0,Ténèbres,1600,900,"0,25"
Chien de Chasse Rouages Ancients,Monstre,[ Machine / Effet ],,"Si cette carte est Invoquée Normalement : infligez 600 points de dommages à votre adversaire. Si cette carte attaque, votre adversaire ne peut pas activer de Cartes Magie/Piège jusqu'à la fin de la Damage Step. Une fois par tour : vous pouvez Invoquer par Fusion 1 Monstre de Fusion ""Rouages Ancients"" depuis votre Extra Deck, en utilisant des monstres depuis votre main ou Terrain comme des Matériels de Fusion.",3.0,Terre,1000,1000,0
Chien de Chasse Tindangle,Monstre,[ Démon / Flip / Effet ],,"FLIP : Vous pouvez cibler 1 autre monstre face recto sur le Terrain ; cette carte gagne une ATK égale à l'ATK d'origine de la cible, puis changez la cible en Position de Défense face verso.
 Chaque monstre contrôlé par votre adversaire perd 1000 ATK pour chaque monstre qui lui est lié. Si cette carte est détruite au combat ou par un effet de carte, et envoyée au Cimetière : vous pouvez cibler 1 monstre face verso sur le Terrain ; changez-le en Position de Défense face recto.",7.0,Ténèbres,2500,0,"0,25"
Chien de Meute Magique,Monstre,[ Machine / Syntoniseur / Effet ],,"Si cette carte est dans votre main ou Cimetière : vous pouvez cibler 1 Magie/Piège face recto contrôlé par votre adversaire ; renvoyez-le à la main, et si vous le faites, Invoquez Spécialement cette carte. Vous ne pouvez utiliser cet effet de ""Chien de Meute Magique"" qu'une fois par Duel.",1.0,Terre,500,800,"0,25"
Chien de Meute Mécanique,Monstre,[ Machine / Effet ],,"Tant que vous n'avez pas de carte dans votre main, votre adversaire ne peut pas activer de Carte Magie.",7.0,Terre,2800,1500,1
Chien de Meute Ultra Vitesseroid,Monstre,[ Machine / Effet ],,"Lorsque cette carte est Invoquée Normalement : vous pouvez envoyer 1 carte ""Vitesseroid"" depuis votre Deck au Cimetière. Durant votre Main Phase, sauf le tour où cette carte a été envoyée au Cimetière : vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 monstre ""Vitesseroid"" dans votre Cimetière ; mélangez-le dans le Deck, et si vous le faites, Invoquez Spécialement 1 Monstre Synchro ""Vitesseroid"" du même Niveau mais de nom différent depuis votre Extra Deck, mais annulez ses effets. Vous ne pouvez utiliser cet effet de ""Chien de Meute Ultra Vitesseroid"" qu'une fois par tour.",3.0,Vent,800,800,"1,5"
Chien Enragé des Ténèbres,Monstre,[ Bête / Normal ],,"""C'était un chien ordinaire qui jouait dans un parc, mais a été corrompu par la puissance des ténèbres.""",4.0,Ténèbres,1900,1400,"0,25"
Chien Magique,Monstre,[ Magicien / Effet ],,"Si cette carte est envoyée au Cimetière pour l'Invocation Synchro d'un monstre de Type Magicien, vous pouvez sélectionner et ajouter 1 Carte Magie de Terrain depuis votre Cimetière à votre main.",4.0,Lumière,1700,1000,0
Chien Mary Exceptionnel,Monstre,[ Bête / Effet ],,"Si cette carte est envoyée au Cimetière : vous pouvez activer 1 de ces effets ;
 • Placez cette carte au-dessous de votre Deck.
 • Ajoutez 1 ""Chien Marron Exceptionnel"" depuis votre Deck à votre main, et si vous le faites, placez cette carte au-dessus de votre Deck.
 Vous ne pouvez utiliser cet effet de ""Chien Mary Exceptionnel"" qu'une fois par tour.",1.0,Lumière,100,100,"0,25"
Chien Mécanique Marron,Monstre,[ Machine / Effet ],,"Lorsque cette carte est détruite à l'issue d'un combat et envoyée au Cimetière, infligez 1000 points de dommages au Points de Vie des deux joueurs. Si cette carte sur le Terrain est envoyé au Cimetière excepté en combat, infligez 1000 points de dommage aux Points de Vie de votre adversaire.",4.0,Lumière,1000,1000,0
Chien Peluchimal,Monstre,[ Elfe / Effet ],,"Lorsque cette carte est Invoquée Normalement ou Spécialement depuis la main : vous pouvez ajouter 1 ""Lames du Lutin Tranchant"" ou 1 monstre ""Peluchimal"" (""Chien Peluchimal"" exclu) depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Chien Peluchimal"" qu'une fois par tour.",4.0,Terre,1700,1000,"2,5"
Chien Plongeur,Monstre,[ Guerrier / Effet ],,"Si votre adversaire contrôle un monstre et que tous les monstres face recto que vous contrôlez (min. 1) sont Niveau 4, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement ""Chien Plongeur"" qu'une fois par tour de cette façon. Cette carte ne peut pas être utilisée comme Matériel Xyz pour une Invocation Xyz, sauf pour l'Invocation Xyz d'un monstre de Type Guerrier.",4.0,Ténèbres,1000,1000,"0,8"
Chilblainia Circumpolaire Cataclysmique,Monstre,[ Elfe / Effet ],,"Si un ou plusieurs monstres EAU face recto que vous contrôlez sont détruits au combat ou par un effet de carte de l'adversaire : vous pouvez Invoquer Spécialement cette carte depuis votre main, puis vous pouvez envoyer 1 carte au hasard depuis la main de votre adversaire au Cimetière. Vous ne pouvez utiliser cet effet de ""Chilblainia Circumpolaire Cataclysmique"" qu'une fois par tour.",8.0,Eau,2600,200,0
Chimèrafflesia Prédaplante,Monstre,[ Plante / Fusion / Effet ],,"1 monstre ""Prédaplante"" + 1 monstre TÉNÈBRES
 Une fois par tour : vous pouvez cibler 1 monstre sur le Terrain d'un Niveau inférieur ou égal à celui de cette carte ; bannissez-le. Lorsqu'une attaque impliquant cette carte et un monstre face recto de votre adversaire est déclarée : vous pouvez activer cet effet ; jusqu'à la fin de ce tour, le monstre de votre adversaire perd 1000 ATK, et s'il le fait, cette carte gagne 1000 ATK. Une fois par tour, durant la prochaine Standby Phase après que cette carte a été envoyée au Cimetière : vous pouvez ajouter 1 Carte Magie ""Polymérisation"" ou Carte Magie ""Fusion"" depuis votre Deck à votre main.",7.0,Ténèbres,2500,2000,"0,75"
Chimeratech Over-Dragon,Monstre,[ Machine / Effet / Fusion ],,"""Cyber Dragon"" + 1 monstre de Type Machine ou plus
 Uniquement Invocable par Fusion et non Invocable Spécialement autrement. Lorsque cette carte est Invoquée par Fusion : envoyez toutes les autres cartes que vous contrôlez au Cimetière. L'ATK/DEF d'origine de cette carte sont égales au nombre de Monstres-Matériels de Fusion utilisés pour son Invocation Fusion x 800. Chaque tour, cette carte peut attaquer les monstres de votre adversaire un nombre de fois égal au nombre de Monstres-Matériels de Fusion utilisés pour son Invocation Fusion.",9.0,Ténèbres,?,?,"0,25"
Chimère Cyberténébreuse,Monstre,[ Monstre / Effet ],,"Vous pouvez défausser 1 Magie/Piège ; ajoutez 1 ""Lien de Puissance"" depuis votre Deck à votre main, vous ne pouvez utiliser que des monstres ""Cyber"" Dragon ou Machine comme Matériel Fusion ce tour, et aussi, une fois, lorsque vous Invoquez par Fusion ce tour, vous pouvez aussi bannir un ou plusieurs monstres depuis votre Cimetière comme Matériel. Si cette carte est envoyée au Cimetière : vous pouvez envoyer 1 monstre ""Cyberténébreu"" depuis votre Deck au Cimetière, de nom différent des cartes dans votre Cimetière. Vous ne pouvez utiliser chaque effet de ""Chimère Cyberténébreuse"" qu'une fois par tour.",4.0,Ténèbres,800,2100,1
Chimère de Ferraille,Monstre,[ Bête / Effet ],,"Cette carte ne peut pas être utilisée en tant que Monstre-Matériel de Synchro, excepté pour l'Invocation Synchro d'un monstre ""Ferraille"", et tous les autres Montres-Matériels de Synchro doivent aussi être des monstres ""Ferraille"". Lorsque cette carte est Invoquée Normalement, vous pouvez sélectionner 1 monstre Syntoniseur ""Ferraille"" dans votre Cimetière et l'Invoquer Spécialement.",4.0,Terre,1700,500,3
Chimère Diplexer,Monstre,[ Cyberse / Fusion / Effet ],,"2 monstres Cyberse
 Une fois par tour : vous pouvez Sacrifier 1 monstre Cyberse ; les Cartes Magie/Piège et leurs effets ne peuvent pas être activés durant la Battle Phase de ce tour. Si cette carte Invoquée par Fusion est envoyée à votre Cimetière : vous pouvez cibler 1 ""Cynet Fusion"" et 1 monstre Cyberse (cette carte exclue) dans votre Cimetière ; ajoutez-les à votre main. Vous ne pouvez utiliser cet effet de ""Chimère Diplexer"" qu'une fois par tour.",5.0,Lumière,2000,800,"0,25"
Chimère Frourreur,Monstre,[ Effet / Démon / Fusion ],,"3 monstres ""Frourreur""
 Uniquement Invocable par Fusion et non Invocable Spécialement autrement. Si cette carte attaque ou est attaquée, jusqu'à la fin de la Damage Step, votre adversaire ne peut ni activer de cartes ni d'effets. Lorsque cette carte détruit un monstre de votre adversaire au combat et l'envoie au Cimetière : vous pouvez Invoquer Spécialement le monstre sur votre Terrain, mais son ATK est divisée par deux. Vous ne pouvez utiliser cet effet de ""Chimère Frourreur"" qu'une fois par tour. Cette carte gagne 300 ATK pour chaque monstre que vous contrôlez dont le propriétaire est votre adversaire.",8.0,Ténèbres,2800,2000,1
Chimère Gadjiltron Rouages Ancients,Monstre,[ Machine / Effet ],,"Si vous faite l'Invocation Sacrifice de cette carte en sacrifiant l'1 des monstres suivants, cette carte obtient l'effet approprié.
 
 • Gadget Vert : Cette carte gagne 300 points d'ATK.
 
 • Gadget Rouge : Si cette carte attaque directement votre adversaire avec succès, infligez 500 points de dommages à votre adversaire.
 
 • Gadget Jaune : Si cette carte détruit un monstre de votre adversaire au combat, infligez 700 points de dommages à votre adversaire",6.0,Terre,2300,1300,0
Chimère Vendetterreur,Monstre,[ Zombie / Rituel / Effet ],,"Vous pouvez Invoquer Rituellement cette carte avec une Magie Rituelle ""Vendetterreur"". Lorsqu'une carte ou un effet qui va détruire une carte sur le Terrain est activé (Effet Rapide) : vous pouvez bannir 1 monstre Zombie depuis votre Cimetière ; annulez l'activation, et si vous le faites, détruisez la carte. Si cette carte est Sacrifiée ou bannie pour une Invocation Rituelle : tous les monstres contrôlés par votre adversaire perdent 500 ATK/DEF. Vous ne pouvez utiliser chaque effet de ""Chimère Vendetterreur"" qu'une fois par tour.",5.0,Ténèbres,2300,0,1
